Plot ID,1315,,Sampler(s),"MO, TT, GH",,,,,Date ,20190625,,,,,,,,,
Notes,MULTIPLE TREES IN PLOT CONNECTED AT BASE SHOULD BE POINTS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
B1,TR,2815,,,UMBCAL,1,1,0,1,4,,,,14.9,,,,1,
B1,TR,1815.1,,,UMBCAL,0,1,0,0,0,,,,9.1,137.2,12,,,
B1,TR,2815.2,,,UMBCAL,0,0,0,0,0,,,,1.53,98.1,13,,,
B1,TR,2815.3,,,UMBCAL,1,0,1,1,4,,,,2.16,,,,1,
B1,SA,2815.4,,,UMBCAL,0,0,,,,NA,NA,,,,,1,,
A1,TR,2687,,,QUEGAR,1,1,0,1,4,,,,20.8,77.6,1,,,
A1,TR,2799,,,QUEGAR,1,0,1,1,4,,,,31.8,,,,,"2797, 2799, 2800 ALL ONE TREE"
A1,TR,2800,,,QUEGAR,1,0,1,1,4,,,,27.2,,,,,"2797, 2799, 2800 ALL ONE TREE"
A1,TR,2797,,,QUEGAR,1,0,1,1,3,,,,16.6,,,,,"2797, 2799, 2800 ALL ONE TREE"
C1,TR,2816,,,UMBCAL,1,1,1,1,4,,,,11.5,83.1,4,,1,
C1,SA,2816.1,,,UMBCAL,0,0,,,,NA,NA,,,,,1,,
C1,TR,2817,,,QUEGAR,1,1,1,1,4,,,,27.4,NA,0,,,
C1,TR,2818,,,QUEGAR,1,0,0,1,4,,,,16.9,,,,,
C1,SA,5612,,,ARBMEN,0,1,,,,NA,0.38,0,,39.2,,,,RESPROUT OF BD
D1,SA,5613,,,ARBMEN,0,1,,,,NA,0.36,0,,32.7,,,,RESPROUT OF BD
D2,TR,2837,,,QUEGAR,1,1,0,1,3,,,,15.6,NA,0,,,CONNECTED TO 2836
D2,TR,2836,,,QUEGAR,1,0,0,1,3,,,,26.7,,,,,CONNECTED TO 2837
D2,TR,2835,,,QUEGAR,1,0,0,1,3,,,,12.6,,,,,was typo 2825 mkqc2022
D2,TR,2834,,,QUEGAR,1,0,1,1,2,,,,16.8,,,,,
D2,TR,2838,,,QUEGAR,1,1,1,0,1,,,,15,60.2,5,,,EPI LOW ON TRUNK
D3,TR,2832,,,QUEGAR,1,0,1,1,4,,,,18,,,,,CONNECTED TO 2833
D3,TR,2833,,,QUEGAR,1,0,1,1,4,,,,29.2,,,,,CONNECTED TO 2832
D3,SA,2831,,,PSEMEN,0,0,,,,NA,3.76,0,,,,,,
C3,TR,2823,,,QUEGAR,1,1,1,1,1,,,,11.3,NA,0,,,TOP HALF DEAD
C3,TR,2822,,,QUEGAR,1,0,1,1,4,,,,17,,,,,
C3,TR,2821,,,QUEGAR,1,0,1,1,3,,,,11.9,,,,,
C3,TR,2820,,,QUEGAR,0,0,0,0,0,,,,NA,,,,,
B3,TR,2814,,,QUEGAR,1,0,1,1,4,,,,25.5,,,,,
B3,TR,2812,,,QUEGAR,1,0,1,1,4,,,,18.6,,,,,CONECTED TO 2813
B3,TR,2813,,,QUEGAR,1,0,1,0,1,,,,16,,,,,2 GREEN LEAVES ON TREE
A2,TR,2804,,,QUEGAR,1,0,1,1,3,,,,20,,,,,CONNECTED TO 2805
A2,TR,2805,,,QUEGAR,1,0,1,1,3,,,,24.5,,,,,CONNECTED TO 2804
A3,TR,2806,,,QUEGAR,1,0,1,1,3,,,,13.6,,,,,
A3,TR,2806.1,,,QUEGAR,1,0,0,1,3,,,,4.1,,,,,
A4,TR,2809,,,QUEGAR,1,0,1,1,4,,,,22,,,,,
B4,TR,2811,,,QUEGAR,1,0,1,1,3,,,,18.2,,,,,
C4,TR,2826,,,QUEGAR,0,0,0,0,0,,,,NA,,,1,,
C4,TR,2825,,,QUEGAR,1,1,1,1,4,,,,20.2,75.1,2,,,
D4,TR,2827,,,QUEGAR,0,0,0,0,0,,,,NA,,,,,"2827,2828,2829 ALL SAME TREE"
D4,TR,2828,,,QUEGAR,1,0,1,1,4,,,,18.5,,,,,"2827,2828,2829 ALL SAME TREE"
D4,TR,2829,,,QUEGAR,1,0,1,1,3,,,,19.3,,,,,"2827,2828,2829 ALL SAME TREE"
