Plot ID,1346,,Sampler(s),"MO, TT, GH",,,,,Date ,20190627,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A4,TR,5100,,,QUEGAR,1,0,1,1,5,,,,22.9,,,,,
A4,SA,5614,,,AMOCAL,1,0,,,,125.7,0.67,4,,,,,,
A4,SA,5097,,,AMOCAL,1,0,,,,181,1.02,5,,,,,,
A4,TR,5080,,,AMOCAL,0,1,0,0,0,,,,1.65,170.4,13,,,
A4,TR,5080.1,,,AMOCAL,0,1,0,0,0,,,,NA,133.4,1,,,
A4,TR,5080.2,,,AMOCAL,0,1,0,0,0,,,,NA,176,10,,,
A4,TR,5080.3,,,AMOCAL,0,1,0,0,0,,,,NA,7,190.2,,,
A4,TR,5080.4,,,AMOCAL,0,1,0,0,0,,,,NA,171.6,5,,,
A4,TS,5080.5,,,AMOCAL,0,0,,,,NA,NA,NA,NA,,,1,,
A4,SA,5617,,,AMOCAL,1,0,,,,122.9,0.91,9,,,,,,
A4,SA,5098,,,HETARB,1,0,,,,97.6,0.72,5,,,,,,BD OF RESPROUT
A4,SA,5102,,,AMOCAL,0,0,,,,NA,NA,NA,,,,,,GONE/ NOT FOUND
A3,TR,5065,,,UMBCAL,1,1,1,1,4,,,,21.4,186.8,18,,,SAME TREE
A3,TR,5062,,,UMBCAL,1,1,1,1,4,,,,25.3,128.9,8,,,SAME TREE
A3,TR,5063,,,UMBCAL,1,1,1,1,4,,,,20,NA,0,,,SAME TREE
A3,TR,5064,,,UMBCAL,1,1,1,1,4,,,,19.9,64.3,1,,,SAME TREE
A3,TR,5064.1,,,UMBCAL,0,0,0,0,0,,,,2.55,,,1,,SAME TREE
A3,TR,5061,,,UMBCAL,1,1,1,1,3,,,,18.6,183.7,23,,,
A3,TR,5061.1,,,UMBCAL,1,0,1,1,2,,,,11.3,,,,,
A3,TR,5066,,,QUEGAR,1,0,1,1,4,,,,25.9,,,,,
A3,SA,5616,,,UMBCAL,1,0,,,,37.6,0.4,,,,,,,BD OF RESPROUT
A2,SA,5638,,,AMOCAL,1,0,,,,196.5,1.1,7,,,,,,
A2,TR,5077,,,AMOCAL,0,1,0,0,0,NA,0.69,,,165,4,,,BD OF RESPROUT
A2,TS,5077.1,,,AMOCAL,1,0,,,,144.6,0.66,,,,1,,,BD OF RESPROUT
A2,SA,5632,,,AMOCAL,1,0,,,,130.6,0.68,8,,,,,,
A2,SA,5637,,,AMOCAL,1,0,,,,90.2,0.48,2,,,,,,
A2,SA,5636,,,AMOCAL,1,0,,,,103,0.5,4,,,,,,
A2,SA,5635,,,AMOCAL,1,0,,,,73.8,0.47,8,,,,,,
A2,SA,5076,,,AMOCAL,1,0,,,,92.1,0.54,7,,,,,,
A2,SA,5640,,,AMOCAL,1,0,,,,155.5,0.81,6,,,,,,
A2,SA,5078,,,AMOCAL,1,0,,,,119.8,0.6,1,,,,,,
A2,SA,5639,,,AMOCAL,1,0,,,,213,1.1,3,,,,,,
A2,SA,5099,,,QUEGAR,1,0,,,,126.9,1.15,7,,,,,,SHOULD BE BASAL FOR 5059
A2,TR,5059,26,46,QUEGAR,1,1,1,1,4,,,,24,NA,NA,,,5099 IS BASAL
A2,TR,5059.1,,,QUEGAR,1,0,0,1,4,,,,20.5,,,,,
A2,SA,5060,,,AMOCAL,1,0,,,,136,NA,5,NA,,6,,,SHOULD BE IN A2/ /COULD BE 5060- FOUND IN C3/BD OF RESPROUT (confirmed no bd measurement-mkqc2023)
A2,TR,5071,,,QUEGAR,1,0,1,1,4,,,,19.8,,,,,
A2,SA,5079,,,AMOCAL,1,0,,,,159.5,0.77,0,,,,,,
A2,SA,5634,,,AMOCAL,1,0,,,,106.5,0.57,3,,,,,,
A2,SA,5096,,,AMOCAL,0,0,,,,NA,NA,NA,,,,1,,DEAD/ GONE
A2,SA,6388,280,320,AMOCAL,1,0,,,,82.2,0.52,2,,,,,,
A1,TR,5000,,,ADEFAS,0,1,0,0,0,,,,NA,,5,,,
A1,TR,5000.1,,,ADEFAS,0,0,0,0,0,,,,1.42,,,1,,
A1,TR,5000.2,,,ADEFAS,0,0,0,0,0,,,,NA,,,1,,
B1,TR,5126,,,QUEGAR,1,0,1,1,4,,,,21.4,,,,,
B1,SA,5125,,,CERBET,1,0,,,,83,0.51,7,,,,,,
B1,SA,5124,,,QUEAGRI,1,0,,,,50.2,0.59,9,,,,,,
B2,TR,5104,,,ADEFAS,0,1,0,0,0,,,,NA,144.2,10,,,
B2,TR,5104.1,,,ADEFAS,0,0,0,0,0,,,,NA,,,1,,
B2,TR,5104.2,,,ADEFAS,0,0,0,0,0,,,,NA,,,1,,
B2,TR,5104.3,,,ADEFAS,0,1,0,0,0,,,,NA,94,11,,,
B2,TR,5104.4,,,ADEFAS,0,1,0,0,0,,,,NA,94.9,7,,,
B1,SA,5123,,,CERBET,1,0,,,,89.2,0.38,10,,,,,,
B4,SA,5615,,,AMOCAL,1,0,,,,80.6,0.65,4,,,,,,
C1,SA,5121,,,CERBET,0,0,,,,83.1,0.66,4,,,,,,
C4,TR,5108,,,QUEGAR,0,0,0,0,0,,,,22,,,,,
C4,TR,5128,,,AMOCAL,0,1,0,0,0,,,,NA,187.6,14,,,BD OFF RESPROUT
C4,SA,5110,,,AMOCAL,1,0,,,,164.9,0.75,16,,,,,,
C4,TR,5129,,,QUEAGRI,0,1,0,0,0,,,,NA,120,8,,,
C4,SA,5646,,,AMOCAL,1,0,,,,103.6,0.6,13,,,,,,BD OFF RESPROUT
C3,SA,5092,,,AMOCAL,1,0,,,,157.9,0.79,14,,,,,,BD OFF RESPROUT
C3,TR,5093,,,AMOCAL,0,1,0,0,0,,,,NA,165,24,,,
C3,SA,5091,,,AMOCAL,1,0,,,,137.4,0.77,32,,,,,,BD OFF RESPROUT
C3,SA,5090,,,AMOCAL,1,0,,,,100.9,0.5,27,,,,,,BD OFF RESPROUT
C3,SA,5645,,,QUEGAR,1,0,,,,85.1,0.63,4,,,,,,NOT QUEKEL/ BD OFF RESPROUT- fixed in 2018db- mkqc2022
C3,SA,5597,,,AMOCAL,1,0,,,,99.8,0.7,0,,,,,,
